N,P,K,temperature,humidity,ph,rainfall,label
78,43,34,23.31,85.21,6.69,196.97,rice
63,45,42,22.35,84.55,6.63,247.28,rice
68,35,30,21.71,81.8,6.77,187.28,rice
76,48,33,24.87,81.96,5.87,245.61,rice
60,52,45,20.75,81.4,5.76,275.8,rice
80,31,34,25.94,81.65,6.7,246.76,rice
99,47,49,26.24,82.9,6.58,230.48,rice
93,46,47,25.21,81.8,5.89,204.72,rice
85,52,40,24.39,80.2,5.62,208.57,rice
70,39,40,20.97,79.85,6.54,250.64,rice
62,42,40,22.91,79.65,6.13,270.48,rice
83,50,47,25.36,81.04,5.51,215.18,rice
90,55,49,22.93,83.98,6.32,240.33,rice
68,36,38,20.2,80.69,6.52,220.43,rice
66,44,32,24.36,78.22,6.09,236.44,rice
61,49,32,23.23,78.4,6.07,201.17,rice
73,52,37,25.26,84.66,5.88,188.19,rice
60,46,50,22.45,83.2,6.67,245.18,rice
90,58,33,20.14,79.22,5.69,246.95,rice
82,36,43,25.37,79.34,6.41,254.79,rice
64,54,49,20.76,78.21,5.97,247.73,rice
98,41,44,20.53,83.52,6.44,190.19,rice
90,55,42,20.85,85.87,6.67,214.72,rice
77,41,40,22.39,84.8,6.73,190.55,rice
98,49,46,24.95,81.48,6.6,276.55,rice
70,54,40,23.38,81.48,6.6,206.84,rice
94,54,31,26.17,79.95,6.2,241.03,rice
75,30,47,21.27,79.7,6.7,214.03,rice
95,51,35,20.07,85.58,5.63,252.01,rice
79,52,43,24.52,81.93,6.69,189.31,rice
68,50,36,24.07,81.79,6.3,222.55,rice
89,39,44,21.9,80.01,5.68,199.26,rice
64,46,45,21.3,79.73,6.23,252.46,rice
99,45,35,20.7,79.55,5.84,197.94,rice
60,46,35,26.82,82.43,6.55,192.63,rice
94,44,47,24.02,81.76,6.16,198.44,rice
62,58,39,25.75,81.21,5.61,242.94,rice
62,34,41,22.13,85.95,5.68,256.44,rice
84,53,34,23.66,81.6,6.16,266.02,rice
99,39,42,24.27,83.92,6.92,200.78,rice
68,49,33,21.22,78.6,5.5,225.05,rice
83,38,34,24.95,83.62,6.18,248.74,rice
96,53,42,24.63,85.47,6.14,234.46,rice
85,57,46,20.5,79.33,5.96,254.9,rice
82,38,32,24.82,83.6,6.91,230.05,rice
79,32,30,23.02,80.58,5.88,189.13,rice
98,55,41,26.66,86.0,6.51,206.95,rice
61,52,39,24.56,85.33,5.77,238.53,rice
85,44,31,22.44,80.67,6.51,265.77,rice
73,50,35,26.62,84.51,6.33,225.48,rice
72,39,49,22.83,82.12,6.98,245.77,rice
81,42,33,22.53,84.05,6.44,256.0,rice
68,46,48,23.07,83.59,5.68,277.31,rice
84,37,33,23.86,82.42,5.64,279.23,rice
96,43,32,25.83,81.99,6.57,230.89,rice
70,55,49,21.71,82.41,6.08,272.19,rice
80,56,47,21.93,84.32,6.12,273.42,rice
80,54,35,22.09,82.7,7.0,228.96,rice
65,46,36,23.86,82.35,6.18,212.18,rice
67,50,41,21.63,84.2,5.57,254.47,rice
88,54,37,24.65,84.57,6.97,229.53,rice
61,45,41,26.09,84.99,6.16,232.6,rice
78,51,38,24.58,79.23,6.2,276.92,rice
73,50,43,25.96,84.82,6.79,218.0,rice
72,51,45,26.11,78.29,5.6,243.12,rice
96,59,44,23.04,78.79,6.45,267.26,rice
77,50,48,20.32,84.37,5.94,217.48,rice
65,45,41,25.55,79.36,5.62,267.08,rice
84,37,48,21.0,81.69,5.88,205.53,rice
60,54,48,24.74,79.26,6.16,214.56,rice
83,49,38,21.75,84.76,5.8,218.47,rice
79,37,41,24.02,85.94,5.94,277.79,rice
86,38,41,24.8,83.96,5.57,240.64,rice
79,57,35,25.59,82.86,6.03,243.66,rice
84,50,44,24.61,84.71,6.44,270.34,rice
85,39,38,24.06,83.86,5.64,209.51,rice
89,35,32,23.78,85.77,6.3,271.35,rice
93,37,46,23.37,84.45,6.62,213.87,rice
64,58,32,26.77,84.88,6.59,277.99,rice
98,54,37,25.53,78.11,6.3,225.48,rice
86,50,41,25.76,85.52,5.66,203.38,rice
61,56,41,26.41,79.77,5.59,262.39,rice
96,39,38,20.98,85.57,5.96,229.26,rice
63,56,32,23.18,83.36,6.61,274.6,rice
76,52,33,22.9,78.79,6.23,220.81,rice
98,30,37,23.1,85.6,6.78,189.94,rice
87,46,49,22.51,81.19,5.78,192.22,rice
93,43,43,24.49,82.78,5.53,258.68,rice
69,33,41,20.48,84.12,5.81,201.6,rice
94,39,32,26.3,78.02,6.79,194.47,rice
65,37,33,24.63,78.21,5.52,259.0,rice
69,39,33,20.37,83.93,6.29,254.57,rice
79,53,40,20.76,82.03,6.92,184.34,rice
91,56,40,23.21,85.71,5.59,227.9,rice
76,50,39,26.37,78.59,5.62,240.83,rice
62,38,42,23.84,80.6,6.99,233.06,rice
78,48,31,24.91,84.82,6.48,256.9,rice
88,36,39,21.6,80.71,6.18,221.6,rice
63,42,43,22.62,79.22,6.88,186.71,rice
93,32,31,25.17,84.49,6.33,238.65,rice
82,39,32,22.48,83.32,6.63,266.81,rice
88,59,42,22.46,82.62,5.82,245.67,rice
68,33,46,22.57,84.1,6.36,260.72,rice
93,59,46,24.3,83.14,5.54,272.91,rice
93,38,33,24.92,80.47,6.01,180.61,rice
94,46,38,20.99,83.07,5.55,254.61,rice
68,42,36,22.59,83.77,6.67,236.76,rice
63,31,33,24.32,83.39,5.91,246.19,rice
79,43,35,25.28,78.91,6.14,208.32,rice
87,44,43,20.32,81.16,6.4,180.77,rice
72,36,32,21.79,80.62,5.51,254.7,rice
67,41,44,23.5,84.67,6.71,187.21,rice
94,31,30,26.45,84.9,6.36,237.34,rice
88,42,32,20.15,80.6,6.7,241.81,rice
93,57,31,25.91,79.95,6.38,232.4,rice
75,39,36,22.33,79.35,6.27,191.4,rice
80,57,36,25.09,84.55,6.72,203.63,rice
65,35,42,25.32,83.24,5.77,257.28,rice
79,52,45,23.14,85.39,6.35,243.53,rice
84,55,42,21.06,78.55,6.16,210.28,rice
70,31,40,22.17,81.62,5.59,263.17,rice
63,55,47,24.31,82.06,6.19,235.43,rice
91,56,38,25.67,83.21,5.98,227.56,rice
66,31,32,26.29,80.75,6.57,230.45,rice
66,37,38,23.08,82.18,5.74,217.29,rice
71,42,36,24.19,84.31,6.47,186.59,rice
63,50,35,25.07,83.25,6.86,267.33,rice
73,47,32,22.45,85.74,6.55,219.2,rice
83,58,36,22.64,84.33,6.72,247.01,rice
93,52,43,23.68,83.17,6.14,216.18,rice
74,35,34,26.63,81.89,5.84,193.76,rice
63,55,32,25.4,84.68,6.83,183.77,rice
73,52,32,22.64,79.3,6.75,257.11,rice
92,34,38,22.88,83.41,5.86,224.42,rice
71,52,38,23.74,80.48,6.71,226.9,rice
93,41,48,26.89,81.69,5.92,218.19,rice
81,58,46,25.61,79.11,5.88,244.12,rice
94,46,32,25.92,84.81,5.93,256.31,rice
70,57,32,23.06,85.57,5.83,225.11,rice
73,30,31,23.51,79.89,6.99,217.49,rice
61,57,46,24.55,84.33,5.71,208.69,rice
93,50,32,24.94,81.59,5.51,187.92,rice
70,55,40,25.09,82.22,5.67,208.81,rice
72,31,38,25.56,81.66,5.67,270.51,rice
83,30,40,21.69,79.15,6.14,241.48,rice
69,42,43,20.6,85.8,5.6,232.61,rice
80,59,41,22.73,81.76,6.45,278.1,rice
70,30,45,22.41,83.86,6.44,257.15,rice
89,39,30,23.82,84.51,5.76,257.91,rice
78,50,42,25.68,78.5,6.66,225.77,rice
71,31,33,20.29,85.47,6.27,278.91,rice
81,37,45,21.34,80.86,6.67,266.58,rice
73,33,37,26.23,83.95,6.84,218.66,rice
98,44,39,26.47,82.15,6.7,252.71,rice
63,48,46,23.82,80.57,5.62,246.09,rice
72,48,38,24.83,80.81,5.56,267.0,rice
74,59,35,26.86,85.58,5.61,243.75,rice
74,54,43,26.67,79.14,6.41,258.13,rice
61,32,45,22.56,81.06,6.35,240.51,rice
87,58,37,25.34,82.59,6.29,219.8,rice
85,37,32,25.15,81.99,6.08,236.17,rice
70,37,38,26.97,80.28,6.87,229.12,rice
64,55,39,26.29,81.56,5.63,248.19,rice
93,39,36,20.45,82.34,6.84,265.14,rice
88,57,42,25.56,82.07,5.68,200.1,rice
65,53,30,23.88,80.95,6.71,235.16,rice
84,32,36,27.0,83.75,6.29,256.92,rice
92,32,49,24.5,81.6,6.52,214.45,rice
95,53,42,21.27,85.73,6.15,271.07,rice
62,33,33,21.15,80.58,6.56,214.6,rice
97,56,46,21.75,83.08,6.33,192.52,rice
72,46,40,21.18,85.53,5.73,245.87,rice
88,48,46,23.95,84.6,5.54,184.55,rice
85,47,43,25.37,81.33,6.46,229.8,rice
85,38,49,23.38,84.44,6.53,209.74,rice
62,31,38,23.39,79.63,6.41,211.26,rice
88,52,47,26.83,79.05,6.06,236.17,rice
72,43,35,21.74,78.77,5.94,218.41,rice
84,37,47,21.12,80.62,6.37,211.27,rice
90,44,40,23.49,80.47,5.53,274.52,rice
80,59,34,22.47,78.4,6.24,268.23,rice
86,44,40,25.93,81.45,6.82,252.75,rice
90,40,38,23.99,79.56,6.33,187.35,rice
80,52,35,26.92,83.44,5.68,277.51,rice
75,53,36,26.57,84.04,5.8,230.91,rice
80,31,32,22.33,81.79,6.19,240.63,rice
80,39,42,21.14,85.92,6.61,209.92,rice
73,54,40,24.96,80.4,6.72,216.84,rice
86,59,41,25.58,83.8,6.53,182.66,rice
78,59,45,25.43,82.62,6.58,238.35,rice
66,48,42,25.89,79.18,6.52,183.16,rice
97,33,30,22.2,79.21,6.54,221.04,rice
91,57,47,25.15,78.5,5.71,200.73,rice
73,49,40,22.2,79.39,6.87,214.23,rice
74,53,44,24.5,83.55,6.42,199.23,rice
69,46,34,26.81,80.38,5.93,200.73,rice
88,39,36,26.54,84.36,5.91,192.19,rice
87,41,49,25.73,85.64,6.71,209.05,rice
71,51,36,23.1,80.05,6.22,200.21,rice
81,57,43,20.96,82.93,6.38,204.25,rice
86,45,42,20.37,81.31,6.58,190.05,rice
90,30,41,26.5,81.26,6.9,267.84,rice
79,35,49,22.25,83.17,6.86,188.95,rice
82,46,44,26.56,85.31,5.76,268.22,rice
67,57,49,22.78,81.96,6.9,276.21,rice
97,56,30,23.98,78.86,6.97,208.46,rice
99,46,39,26.57,84.81,6.2,199.28,rice
64,34,39,21.8,79.49,6.6,259.08,rice
82,52,33,25.99,85.18,6.74,231.53,rice
63,50,33,20.98,80.59,5.87,206.08,rice
69,52,49,22.11,83.78,5.52,245.37,rice
87,31,32,22.15,81.24,6.25,269.51,rice
88,39,32,26.41,80.36,6.42,201.91,rice
65,34,44,24.24,81.33,6.32,227.08,rice
81,49,34,21.73,84.04,6.81,188.19,rice
77,51,31,23.95,78.49,6.32,230.55,rice
82,34,36,23.64,78.93,5.81,238.31,rice
63,45,46,23.17,82.11,6.19,185.77,rice
78,54,44,22.77,84.53,6.62,237.83,rice
61,40,31,26.96,85.48,5.6,273.38,rice
61,42,45,25.36,85.83,6.47,222.04,rice
99,41,47,26.35,81.01,6.52,246.18,rice
81,49,36,21.25,82.3,6.29,252.79,rice
68,30,30,22.09,83.39,6.32,233.19,rice
92,37,36,21.93,85.5,6.59,191.28,rice
92,42,45,26.19,78.13,5.81,190.09,rice
61,47,44,20.34,83.92,6.1,203.43,rice
68,55,31,23.53,80.31,6.72,253.15,rice
72,47,43,22.24,80.41,5.71,246.02,rice
68,39,31,26.64,85.04,6.87,242.6,rice
77,44,49,26.59,83.37,6.68,211.87,rice
76,34,37,25.28,81.79,6.77,210.07,rice
88,54,48,23.94,85.74,6.34,193.41,rice
69,36,42,26.46,84.78,5.64,252.46,rice
67,38,43,24.22,84.99,5.78,256.17,rice
88,46,39,26.09,80.66,6.94,181.53,rice
97,58,32,27.0,81.83,5.86,240.44,rice
68,57,41,25.43,81.05,6.3,215.93,rice
70,45,39,20.69,85.85,6.2,263.97,rice
96,41,38,23.94,79.77,5.72,206.08,rice
97,47,38,21.07,80.64,6.07,263.34,rice
79,49,43,21.8,84.57,6.95,244.17,rice
79,35,45,21.18,83.76,6.23,271.69,rice
81,49,31,20.24,84.77,6.92,246.82,rice
90,42,46,21.62,83.66,5.51,230.57,rice
74,48,43,24.32,81.87,6.23,180.66,rice
82,30,40,21.92,85.82,5.53,261.32,rice
86,54,48,20.75,78.77,5.72,199.19,rice
81,54,35,22.78,80.98,6.11,236.5,rice
99,36,43,25.94,83.23,6.79,255.96,rice
63,41,41,20.39,78.08,5.76,229.99,rice
77,53,41,26.01,78.76,6.29,184.26,rice
68,56,47,23.33,78.37,5.61,272.56,rice
95,46,30,26.5,80.52,6.94,238.7,rice
90,51,37,20.54,79.3,5.86,263.47,rice
75,56,36,25.29,79.12,6.98,252.42,rice
80,59,31,23.06,84.71,6.01,256.9,rice
98,41,45,20.21,80.19,6.99,229.06,rice
74,58,38,24.76,83.29,5.63,241.86,rice
91,51,31,21.08,83.69,6.45,253.97,rice
72,33,30,22.16,80.88,5.9,193.25,rice
67,43,41,22.86,78.21,6.03,189.31,rice
83,39,37,22.04,81.1,5.63,270.11,rice
96,59,41,21.19,81.05,5.71,210.11,rice
79,31,38,22.95,81.87,5.62,205.17,rice
69,48,41,21.37,78.86,5.96,274.88,rice
73,48,46,22.31,80.68,6.72,265.95,rice
98,34,36,26.63,79.61,5.97,276.46,rice
98,38,43,23.44,82.61,5.86,217.61,rice
92,41,32,23.95,82.74,6.32,248.17,rice
82,58,39,24.96,81.51,5.94,249.28,rice
92,53,38,23.5,83.07,5.86,245.87,rice
88,53,31,26.93,81.83,6.1,230.66,rice
96,50,40,25.54,80.88,6.84,233.69,rice
85,32,45,24.6,80.84,6.47,184.43,rice
99,50,37,25.27,85.73,6.15,181.05,rice
70,45,40,24.06,82.6,6.17,219.11,rice
90,47,40,22.41,78.2,5.66,221.6,rice
98,33,48,20.99,80.5,6.18,200.69,rice
79,44,38,24.88,80.55,5.95,261.02,rice
64,55,42,24.74,79.31,6.98,204.39,rice
66,34,41,26.71,79.85,6.11,198.45,rice
85,42,30,24.3,79.58,6.39,218.88,rice
88,36,45,25.66,78.5,5.65,267.2,rice
67,39,39,21.84,84.9,6.29,243.91,rice
83,48,41,22.44,84.76,6.43,261.37,rice
88,38,42,20.59,79.07,5.68,210.54,rice
67,50,40,22.93,79.1,6.08,198.58,rice
85,50,42,27.0,82.44,6.23,194.03,rice
72,43,31,22.51,78.08,5.7,261.52,rice
98,45,39,24.79,81.33,6.76,228.87,rice
63,30,45,22.04,80.2,6.31,196.82,rice
78,52,45,23.85,78.91,5.67,257.51,rice
92,41,46,20.29,83.75,6.32,278.98,rice
64,54,45,22.08,85.99,6.17,214.86,rice
92,43,49,25.43,79.9,6.72,238.79,rice
74,51,42,21.16,79.11,5.81,200.69,rice
62,40,35,23.77,80.59,6.56,208.93,rice
70,55,49,24.76,78.76,6.94,258.57,rice
96,59,47,20.89,84.93,5.87,251.14,rice
93,52,43,23.43,82.62,5.9,221.42,rice
78,49,47,20.65,82.12,5.92,273.63,rice
74,58,36,20.02,84.19,6.6,253.09,rice
78,49,37,20.44,82.28,5.83,222.96,rice
68,38,46,22.36,82.62,6.35,228.53,rice
73,50,30,20.7,84.27,6.19,192.42,rice
94,43,30,26.71,79.62,6.53,193.19,rice
86,34,48,21.92,83.24,5.88,217.18,rice
96,34,37,22.14,83.6,5.85,245.55,rice
88,30,39,20.93,79.81,6.52,180.93,rice
87,54,49,22.96,79.06,5.61,218.31,rice
89,33,36,26.17,79.1,6.66,255.32,rice
65,59,32,23.71,78.07,6.48,224.01,rice
88,48,33,22.88,83.49,6.79,188.67,rice
64,52,41,22.69,85.71,5.97,193.98,rice
71,32,41,24.2,82.86,6.67,249.05,rice
93,49,36,23.62,82.08,6.62,209.55,rice
62,56,49,23.46,78.9,6.25,239.39,rice
81,59,49,26.54,79.06,6.79,236.84,rice
74,50,45,26.68,84.16,5.53,186.75,rice
70,31,31,25.53,82.05,6.44,230.1,rice
76,51,31,23.76,82.93,5.92,210.99,rice
80,36,46,23.75,81.13,6.45,263.45,rice
87,31,43,25.11,84.77,5.59,188.62,rice
77,43,42,22.17,83.93,6.61,191.94,rice
88,51,33,26.67,82.18,6.67,252.08,rice
66,33,45,21.88,85.09,6.66,182.94,rice
92,38,31,24.99,82.61,5.62,225.52,rice
74,44,41,22.57,80.04,5.65,237.39,rice
88,36,40,20.31,84.9,5.87,227.18,rice
75,34,48,26.0,82.42,6.87,254.07,rice
76,39,38,25.04,80.17,5.62,217.28,rice
80,57,33,25.63,85.85,6.93,186.89,rice
78,38,46,22.29,82.42,5.51,200.07,rice
82,39,42,23.25,82.73,6.24,257.26,rice
67,57,45,21.72,78.05,6.12,203.3,rice
73,55,47,26.66,78.01,6.49,264.9,rice
89,33,40,21.67,81.94,5.59,279.7,rice
88,32,48,26.28,82.16,6.55,217.25,rice
98,32,31,20.93,84.56,5.61,236.78,rice
77,58,34,21.83,80.52,6.7,250.07,rice
89,39,35,20.52,79.62,6.67,238.47,rice
66,34,39,22.85,82.29,6.95,200.76,rice
72,37,32,21.1,83.49,6.74,249.69,rice
61,55,36,20.64,79.99,6.03,231.35,rice
87,37,49,20.22,81.24,6.18,254.81,rice
69,43,46,20.98,78.1,6.75,278.26,rice
65,54,37,24.41,83.16,6.37,205.88,rice
92,30,31,26.32,81.55,5.69,270.51,rice
93,39,30,23.23,79.34,6.36,262.17,rice
75,30,43,21.21,79.72,5.78,207.99,rice
95,31,42,21.72,80.36,6.12,235.07,rice
62,38,32,21.4,85.08,6.29,243.08,rice
92,53,49,25.47,80.87,6.32,228.47,rice
96,45,37,21.26,80.55,5.83,269.58,rice
91,31,49,23.71,84.13,7.0,277.4,rice
64,49,35,25.71,85.34,5.58,279.64,rice
68,55,45,22.48,84.71,6.77,197.61,rice
83,54,43,26.4,78.23,6.55,274.76,rice
82,46,33,26.92,85.05,6.24,210.91,rice
79,32,34,21.53,82.21,5.5,271.79,rice
68,33,44,26.43,84.75,5.99,182.19,rice
83,57,45,25.93,84.89,6.94,217.36,rice
97,41,32,22.11,79.09,5.74,274.87,rice
91,58,42,21.22,85.75,6.54,272.88,rice
91,36,41,21.23,80.45,6.53,192.73,rice
89,58,48,22.74,85.95,6.95,183.24,rice
84,57,49,21.55,82.52,6.91,194.06,rice
89,37,49,21.18,85.08,5.63,250.9,rice
85,56,38,21.86,80.0,5.6,205.67,rice
64,30,37,25.13,85.75,6.83,229.31,rice
75,46,32,23.36,84.91,6.48,248.72,rice
66,32,46,22.06,80.55,6.93,187.42,rice
66,41,44,23.83,85.18,5.64,239.4,rice
84,44,30,26.6,79.32,6.83,195.71,rice
64,36,33,24.88,83.78,6.59,206.53,rice
71,37,30,24.0,84.72,5.73,216.08,rice
77,38,43,24.2,79.6,5.54,197.08,rice
71,32,46,22.16,81.18,6.23,246.1,rice
63,46,33,26.2,80.96,6.17,206.33,rice
78,36,35,20.43,84.02,6.5,188.57,rice
73,46,49,24.13,82.43,6.76,261.84,rice
76,46,47,23.32,85.05,6.21,187.9,rice
96,51,40,26.3,84.4,6.52,242.03,rice
64,52,33,26.89,85.78,6.71,192.62,rice
76,59,38,26.98,83.02,6.75,205.79,rice
96,57,31,22.72,81.18,5.99,207.62,rice
78,56,45,24.36,82.18,6.13,221.44,rice
65,47,45,26.58,85.4,6.34,190.1,rice
71,46,36,22.88,81.06,6.23,240.9,rice
61,38,32,24.26,83.55,5.56,268.96,rice
73,37,44,26.45,85.18,5.53,261.74,rice
72,38,39,24.87,78.79,6.8,193.44,rice
98,43,46,21.89,81.33,6.47,198.79,rice
68,54,44,25.32,84.94,6.73,231.53,rice
66,39,40,20.95,84.81,6.82,182.89,rice
67,54,46,21.75,81.65,6.88,250.46,rice
70,54,40,24.45,78.99,5.55,217.25,rice
83,35,47,24.11,80.8,5.75,269.45,rice
89,50,35,22.71,79.3,6.36,276.49,rice
94,49,43,21.88,81.28,5.53,258.03,rice
90,30,48,24.53,82.81,5.51,205.24,rice
92,39,49,24.5,81.39,6.06,214.87,rice
70,44,43,25.77,81.18,5.65,231.15,rice
86,55,37,24.53,82.87,5.95,190.81,rice
62,59,42,26.03,80.09,6.57,269.24,rice
71,34,45,26.3,84.44,6.7,240.0,rice
86,50,44,24.59,85.98,5.89,221.86,rice
75,31,44,24.0,79.52,6.59,202.24,rice
81,53,48,24.7,82.06,6.77,264.06,rice
95,35,31,20.9,80.07,6.71,256.29,rice
67,50,36,20.63,80.84,6.62,210.71,rice
91,39,35,22.06,84.81,6.21,266.64,rice
83,58,31,26.23,82.0,6.8,218.17,rice
71,31,47,20.96,79.6,6.11,236.94,rice
96,43,36,25.01,84.23,6.23,243.1,rice
67,49,30,21.91,84.09,5.75,256.45,rice
79,52,31,24.3,83.07,6.11,276.53,rice
75,31,33,22.61,78.11,5.98,263.32,rice
67,50,42,21.74,83.55,6.02,192.89,rice
75,47,33,25.77,80.39,5.94,252.78,rice
83,40,47,26.97,80.74,6.85,215.93,rice
67,58,48,22.82,79.83,6.59,193.12,rice
89,47,33,22.57,83.2,5.56,267.65,rice
70,46,30,26.96,83.3,6.48,181.97,rice
87,42,37,23.83,81.8,5.73,249.52,rice
85,39,43,24.64,80.16,6.41,193.72,rice
93,33,44,20.82,78.91,5.66,199.86,rice
67,37,40,21.41,83.63,5.94,183.94,rice
79,36,48,22.31,78.02,6.51,270.69,rice
93,50,32,20.63,82.09,6.59,190.13,rice
70,36,49,22.07,81.71,5.65,197.47,rice
61,38,46,22.19,83.91,5.64,255.82,rice
61,55,43,21.19,80.86,6.16,242.18,rice
95,32,46,21.28,81.21,6.94,207.18,rice
75,55,46,24.54,84.38,5.67,249.62,rice
62,58,33,22.91,82.73,6.7,247.84,rice
67,41,37,20.2,83.48,6.76,277.34,rice
65,57,32,22.88,78.37,5.89,211.42,rice
88,50,45,24.04,82.52,6.97,246.98,rice
73,45,44,20.67,83.29,5.87,214.57,rice
87,41,46,23.91,85.9,5.58,244.34,rice
66,55,47,26.09,78.6,6.24,204.09,rice
108,41,40,20.79,58.07,6.35,92.14,wheat
100,53,56,19.02,52.37,6.75,105.74,wheat
65,52,48,15.0,51.82,6.91,103.33,wheat
75,55,40,21.04,69.01,6.55,63.8,wheat
71,53,49,20.58,59.46,6.99,110.11,wheat
65,62,40,18.07,66.6,7.45,80.44,wheat
86,61,36,16.48,52.81,7.08,110.51,wheat
65,58,39,23.37,57.86,6.69,114.7,wheat
95,43,45,23.34,66.75,6.88,114.05,wheat
82,59,58,16.21,59.98,6.8,63.4,wheat
106,65,47,19.57,68.42,6.27,100.5,wheat
96,43,44,20.4,67.65,6.76,86.93,wheat
108,67,54,17.46,69.27,7.46,91.7,wheat
66,52,52,21.74,55.98,7.05,120.25,wheat
95,68,50,16.81,62.48,6.44,84.17,wheat
93,69,51,23.62,60.08,7.04,82.57,wheat
65,50,47,20.14,63.34,6.63,112.35,wheat
102,48,56,22.27,60.45,6.04,70.17,wheat
93,46,53,16.45,55.73,6.38,118.76,wheat
94,48,53,15.29,66.28,6.15,120.76,wheat
96,65,53,20.05,54.75,7.18,115.92,wheat
74,59,58,18.49,69.13,7.46,81.89,wheat
87,40,41,20.59,65.62,7.31,118.1,wheat
105,61,51,21.8,60.93,6.91,114.33,wheat
108,48,39,21.14,53.74,6.26,95.97,wheat
78,52,48,16.17,61.68,6.38,83.14,wheat
95,44,38,17.9,51.02,7.4,103.09,wheat
93,54,49,18.22,65.68,6.48,75.4,wheat
69,42,47,18.74,60.74,6.14,75.48,wheat
70,49,44,16.97,65.05,6.8,129.76,wheat
101,69,35,21.02,58.91,7.36,102.96,wheat
91,68,52,17.89,68.32,7.42,87.01,wheat
87,48,57,22.4,57.5,7.2,91.19,wheat
62,66,39,19.63,68.96,6.25,126.94,wheat
86,40,36,21.03,65.47,7.3,89.69,wheat
65,56,52,23.79,65.5,6.97,125.78,wheat
97,44,46,17.99,51.75,6.08,115.6,wheat
87,57,40,17.33,57.76,6.95,90.31,wheat
60,60,48,20.77,62.37,7.13,100.99,wheat
95,42,58,15.96,65.74,6.45,66.06,wheat
98,53,44,20.95,59.48,6.8,69.55,wheat
79,63,48,23.64,52.88,7.02,123.99,wheat
99,61,44,23.55,61.07,6.83,68.63,wheat
60,57,48,23.52,56.09,7.12,123.25,wheat
77,52,51,19.61,53.22,6.33,118.43,wheat
69,45,54,22.67,67.03,7.4,129.6,wheat
83,56,42,15.61,51.96,7.09,94.1,wheat
76,43,51,15.9,62.39,7.35,82.25,wheat
82,58,42,20.26,61.31,6.55,82.14,wheat
81,40,41,16.99,64.8,6.65,118.81,wheat
66,61,56,19.17,57.17,6.46,98.62,wheat
68,58,56,22.73,52.8,6.81,78.43,wheat
104,42,36,15.17,60.14,6.05,100.73,wheat
80,57,57,19.96,60.87,7.5,93.05,wheat
98,50,40,21.95,64.66,6.44,92.53,wheat
